Department,CourseNumber,Prerequisites,Offerings
ACMA,101,,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
ACMA,201,"MATH 152 with a minimum grade of C; or MATH 155 or MATH 158, with a grade of at least B.","['Summer 2025', 'Spring 2025', 'Summer 2024', 'Spring 2024']"
ACMA,231,BC Mathematics 12 (or equivalent) or any 100-level MATH course with a minimum grade of C.,['Fall 2024']
ACMA,301,"ACMA 201 (or 210), with a minimum grade of C. Corequisite: STAT 285.",['Fall 2024']
ACMA,321,"ACMA 101 with a minimum grade of C. Corequisite: STAT 330, ACMA 231.",['Fall 2024']
ACMA,336,Students must apply and receive permission from the co-op coordinator at least one but preferably two terms in advance. They will normally be required to have completed 45 units with a GPA of 2.50 before they may take this practicum course.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
ACMA,337,ACMA 336 or Job Practicum I from another department. Students must apply and receive permission from the co-op coordinator at least one term in advance.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
ACMA,340,"ACMA 201 (or 210), with a minimum grade of C. Corequisite: STAT 285.","['Spring 2025', 'Spring 2024']"
ACMA,401,"ACMA 301 (or 320), with a minimum grade of C.","['Spring 2025', 'Spring 2024']"
ACMA,421,ACMA 321 with a minimum grade of C. Corequisite: STAT 350.,['Spring 2025']
ACMA,436,ACMA 337 or Job Practicum II from another department. Students must apply and receive permission from the co-op coordinator at least one term in advance.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
ACMA,437,ACMA 436 or Job Practicum III from another department. Students must apply and receive permission from the co-op coordinator at least one term in advance.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
ACMA,438,ACMA 437 or Job Practicum IV from another department. Students must apply and receive permission from the co-op coordinator at least one term in advance.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Spring 2024']"
ACMA,455,ACMA 355 with a minimum grade of C.,['Spring 2024']
ACMA,470,,['Spring 2024']
ACMA,495,Written permission from the Department of Statistics and Actuarial Science undergraduate curriculum committee.,['Spring 2025']
ARCH,101,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
ARCH,131,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
ARCH,200,30 units.,"['Fall 2024', 'Spring 2024']"
ARCH,226,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
ARCH,252,,['Fall 2024']
ARCH,271,ARCH 101 or ARCH 201.,['Fall 2024']
ARCH,273,"Any one of the following: ARCH 100, ARCH 101, EVSC 100, GEOG 100, or REM 100.","['Spring 2025', 'Spring 2024']"
ARCH,282,ARCH 101 or ARCH 201.,"['Summer 2025', 'Fall 2024']"
ARCH,285,12 units.,"['Spring 2025', 'Spring 2024']"
ARCH,286,"30 units including one of ARCH 100, ARCH 101, ARCH 201, EVSC 100, GEOG 100, or REM 100.","['Summer 2025', 'Spring 2025', 'Summer 2024']"
ARCH,301,45 credit hours.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
ARCH,313,"One of the following courses: ARCH 100, ARCH 201, HS 100, HS 231, HS 232, HS/HIST 277 or by permission of the instructor.",['Spring 2025']
ARCH,321,"ARCH 272W or 273 or by permission of instructor. Other prerequisites may be required, but will vary according to topic.",['Summer 2024']
ARCH,322,ARCH 131.,"['Summer 2025', 'Spring 2024']"
ARCH,323,ARCH 131 or any lower division biology course.,['Fall 2024']
ARCH,329,ARCH 101 or ARCH 201.,['Spring 2024']
ARCH,340,ARCH 101 or ARCH 201.,"['Spring 2025', 'Spring 2024']"
ARCH,344,ARCH 131 or any lower division biology course.,['Spring 2024']
ARCH,348,"Six units in Archaeology, including ARCH 101 or ARCH 201.",['Fall 2024']
ARCH,350,Acceptance in the Environment Co-operative Education Program.,"['Summer 2024', 'Spring 2024']"
ARCH,351,ARCH 350 and readmission to the Environment Co-operative Education Program.,['Spring 2024']
ARCH,363,"ARCH 100 or ARCH 101 or ARCH 201, and 45 units.","['Spring 2025', 'Spring 2024']"
ARCH,365,"ARCH 101 or ARCH 201; or any two of ARCH 100, REM 100, GEOG 100, EVSC 100; and 45 units.","['Spring 2025', 'Spring 2024']"
