Department,CourseNumber,ParsedPrerequisites,numberOfOfferings,Prerequisites,Offerings
ACMA,101,,3,,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
ACMA,201,"(MATH152),(MATH155),(MATH158)",4,"MATH 152 with a minimum grade of C; or MATH 155 or MATH 158, with a grade of at least B.","['Summer 2025', 'Spring 2025', 'Summer 2024', 'Spring 2024']"
ACMA,231,"(MATH100),(MATH150),(MATH151),(MATH154),(MATH157)",1,BC Mathematics 12 (or equivalent) or any 100-level MATH course with a minimum grade of C.,['Fall 2024']
ACMA,301,"(ACMA201),(ACMA210)",1,"ACMA 201 (or 210), with a minimum grade of C. Corequisite: STAT 285.",['Fall 2024']
ACMA,321,(ACMA101),1,"ACMA 101 with a minimum grade of C. Corequisite: STAT 330, ACMA 231.",['Fall 2024']
ACMA,336,,5,Students must apply and receive permission from the co-op coordinator at least one but preferably two terms in advance. They will normally be required to have completed 45 units with a GPA of 2.50 before they may take this practicum course.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
ACMA,337,(ACMA336),5,ACMA 336 or Job Practicum I from another department. Students must apply and receive permission from the co-op coordinator at least one term in advance.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
ACMA,340,"(ACMA201),(ACMA210)",2,"ACMA 201 (or 210), with a minimum grade of C. Corequisite: STAT 285.","['Spring 2025', 'Spring 2024']"
ACMA,401,"(ACMA301),(ACMA320)",2,"ACMA 301 (or 320), with a minimum grade of C.","['Spring 2025', 'Spring 2024']"
ACMA,421,(ACMA321),1,ACMA 321 with a minimum grade of C. Corequisite: STAT 350.,['Spring 2025']
ACMA,436,(ACMA337),5,ACMA 337 or Job Practicum II from another department. Students must apply and receive permission from the co-op coordinator at least one term in advance.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
ACMA,437,(ACMA436),5,ACMA 436 or Job Practicum III from another department. Students must apply and receive permission from the co-op coordinator at least one term in advance.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
ACMA,438,(ACMA437),4,ACMA 437 or Job Practicum IV from another department. Students must apply and receive permission from the co-op coordinator at least one term in advance.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Spring 2024']"
ACMA,455,(ACMA355),1,ACMA 355 with a minimum grade of C.,['Spring 2024']
ACMA,470,,1,,['Spring 2024']
ACMA,495,,1,Written permission from the Department of Statistics and Actuarial Science undergraduate curriculum committee.,['Spring 2025']
ARCH,101,,5,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
ARCH,131,,5,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
ARCH,200,,2,30 units.,"['Fall 2024', 'Spring 2024']"
ARCH,226,,5,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
ARCH,252,,1,,['Fall 2024']
ARCH,271,"(ARCH101),(ARCH201)",1,ARCH 101 or ARCH 201.,['Fall 2024']
ARCH,273,"(ARCH100),(ARCH101),(EVSC100),(GEOG100),(REM100)",2,"Any one of the following: ARCH 100, ARCH 101, EVSC 100, GEOG 100, or REM 100.","['Spring 2025', 'Spring 2024']"
ARCH,282,"(ARCH101),(ARCH201)",2,ARCH 101 or ARCH 201.,"['Summer 2025', 'Fall 2024']"
ARCH,285,,2,12 units.,"['Spring 2025', 'Spring 2024']"
ARCH,286,"(ARCH100),(ARCH101),(ARCH201),(EVSC100),(GEOG100),(REM100)",3,"30 units including one of ARCH 100, ARCH 101, ARCH 201, EVSC 100, GEOG 100, or REM 100.","['Summer 2025', 'Spring 2025', 'Summer 2024']"
ARCH,301,,5,45 credit hours.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
