Department,CourseNumber,Prerequisites
ACMA,101,
ACMA,201,"MATH 152 with a minimum grade of C; or MATH 155 or MATH 158, with a grade of at least B."
ACMA,231,BC Mathematics 12 (or equivalent) or any 100-level MATH course with a minimum grade of C.
ACMA,301,"ACMA 201 (or 210), with a minimum grade of C. Corequisite: STAT 285."
ACMA,321,"ACMA 101 with a minimum grade of C. Corequisite: STAT 330, ACMA 231."
ACMA,336,Students must apply and receive permission from the co-op coordinator at least one but preferably two terms in advance. They will normally be required to have completed 45 units with a GPA of 2.50 before they may take this practicum course.
ACMA,337,ACMA 336 or Job Practicum I from another department. Students must apply and receive permission from the co-op coordinator at least one term in advance.
ACMA,340,"ACMA 201 (or 210), with a minimum grade of C. Corequisite: STAT 285."
ACMA,401,"ACMA 301 (or 320), with a minimum grade of C."
ACMA,421,ACMA 321 with a minimum grade of C. Corequisite: STAT 350.
ACMA,436,ACMA 337 or Job Practicum II from another department. Students must apply and receive permission from the co-op coordinator at least one term in advance.
ACMA,437,ACMA 436 or Job Practicum III from another department. Students must apply and receive permission from the co-op coordinator at least one term in advance.
ACMA,438,ACMA 437 or Job Practicum IV from another department. Students must apply and receive permission from the co-op coordinator at least one term in advance.
ACMA,455,ACMA 355 with a minimum grade of C.
ACMA,470,
ACMA,495,Written permission from the Department of Statistics and Actuarial Science undergraduate curriculum committee.
ARCH,101,
ARCH,131,
ARCH,200,30 units.
ARCH,226,
ARCH,252,
ARCH,271,ARCH 101 or ARCH 201.
ARCH,273,"Any one of the following: ARCH 100, ARCH 101, EVSC 100, GEOG 100, or REM 100."
ARCH,282,ARCH 101 or ARCH 201.
ARCH,285,12 units.
ARCH,286,"30 units including one of ARCH 100, ARCH 101, ARCH 201, EVSC 100, GEOG 100, or REM 100."
ARCH,301,45 credit hours.
ARCH,313,"One of the following courses: ARCH 100, ARCH 201, HS 100, HS 231, HS 232, HS/HIST 277 or by permission of the instructor."
ARCH,321,"ARCH 272W or 273 or by permission of instructor. Other prerequisites may be required, but will vary according to topic."
ARCH,322,ARCH 131.
ARCH,323,ARCH 131 or any lower division biology course.
