Department,Course Number,Prerequisites,Offerings,Parsed Prerequisites,Number of Offerings,Simple Prerequisites
ACMA,101,N/A,"Spring 2025, Fall 2024, Spring 2024",N/A,3,N/A
ACMA,201,"MATH 152 with a minimum grade of C; or MATH 155 or MATH 158, with a grade of at least B.","Summer 2025, Spring 2025, Summer 2024, Spring 2024","(MATH152),(MATH155),(MATH158)",4,"MATH152, MATH155, MATH158"
ACMA,231,BC Mathematics 12 (or equivalent) or any 100-level MATH course with a minimum grade of C.,Fall 2024,"(MATH100),(MATH150),(MATH151),(MATH154),(MATH157)",1,"MATH100, MATH150, MATH151, MATH154, MATH157"
ACMA,301,"ACMA 201 (or 210), with a minimum grade of C. Corequisite: STAT 285.",Fall 2024,"(ACMA201),(ACMA210)",1,"ACMA201, ACMA210"
ACMA,321,"ACMA 101 with a minimum grade of C. Corequisite: STAT 330, ACMA 231.",Fall 2024,(ACMA101),1,ACMA101
ACMA,336,Students must apply and receive permission from the co-op coordinator at least one but preferably two terms in advance. They will normally be required to have completed 45 units with a GPA of 2.50 before they may take this practicum course.,"Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",N/A,5,N/A
ACMA,337,ACMA 336 or Job Practicum I from another department. Students must apply and receive permission from the co-op coordinator at least one term in advance.,"Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",(ACMA336),5,ACMA336
ACMA,340,"ACMA 201 (or 210), with a minimum grade of C. Corequisite: STAT 285.","Spring 2025, Spring 2024","(ACMA201),(ACMA210)",2,"ACMA201, ACMA210"
ACMA,401,"ACMA 301 (or 320), with a minimum grade of C.","Spring 2025, Spring 2024","(ACMA301),(ACMA320)",2,"ACMA301, ACMA320"
ACMA,421,ACMA 321 with a minimum grade of C. Corequisite: STAT 350.,Spring 2025,(ACMA321),1,ACMA321
ACMA,436,ACMA 337 or Job Practicum II from another department. Students must apply and receive permission from the co-op coordinator at least one term in advance.,"Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",(ACMA337),5,ACMA337
ACMA,437,ACMA 436 or Job Practicum III from another department. Students must apply and receive permission from the co-op coordinator at least one term in advance.,"Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",(ACMA436),5,ACMA436
ACMA,438,ACMA 437 or Job Practicum IV from another department. Students must apply and receive permission from the co-op coordinator at least one term in advance.,"Summer 2025, Spring 2025, Fall 2024, Spring 2024",(ACMA437),4,ACMA437
ACMA,455,ACMA 355 with a minimum grade of C.,Spring 2024,(ACMA355),1,ACMA355
ACMA,470,N/A,Spring 2024,N/A,1,N/A
ACMA,495,Written permission from the Department of Statistics and Actuarial Science undergraduate curriculum committee.,Spring 2025,N/A,1,N/A
ARCH,101,N/A,"Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",N/A,5,N/A
ARCH,131,N/A,"Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",N/A,5,N/A
ARCH,200,30 units.,"Fall 2024, Spring 2024",N/A,2,N/A
ARCH,226,N/A,"Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",N/A,5,N/A
ARCH,252,N/A,Fall 2024,N/A,1,N/A
ARCH,271,ARCH 101 or ARCH 201.,Fall 2024,"(ARCH101),(ARCH201)",1,"ARCH101, ARCH201"
ARCH,273,"Any one of the following: ARCH 100, ARCH 101, EVSC 100, GEOG 100, or REM 100.","Spring 2025, Spring 2024","(ARCH100),(ARCH101),(EVSC100),(GEOG100),(REM100)",2,"ARCH100, ARCH101, EVSC100, GEOG100, REM100"
ARCH,282,ARCH 101 or ARCH 201.,"Summer 2025, Fall 2024","(ARCH101),(ARCH201)",2,"ARCH101, ARCH201"
ARCH,285,12 units.,"Spring 2025, Spring 2024",N/A,2,N/A
ARCH,286,"30 units including one of ARCH 100, ARCH 101, ARCH 201, EVSC 100, GEOG 100, or REM 100.","Summer 2025, Spring 2025, Summer 2024","(ARCH100),(ARCH101),(ARCH201),(EVSC100),(GEOG100),(REM100)",3,"ARCH100, ARCH101, ARCH201, EVSC100, GEOG100, REM100"
ARCH,301,45 credit hours.,"Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",N/A,5,N/A
ARCH,313,"One of the following courses: ARCH 100, ARCH 201, HS 100, HS 231, HS 232, HS/HIST 277 or by permission of the instructor.",Spring 2025,"(ARCH100),(ARCH201),(HS100),(HS231),(HS232),(HIST277)",1,"ARCH100, ARCH201, HIST277, HS100, HS231, HS232"
ARCH,321,"ARCH 272W or 273 or by permission of instructor. Other prerequisites may be required, but will vary according to topic.",Summer 2024,"(ARCH272W),(ARCH273)",1,"ARCH272W, ARCH273"
ARCH,322,ARCH 131.,"Summer 2025, Spring 2024",(ARCH131),2,ARCH131
ARCH,323,ARCH 131 or any lower division biology course.,Fall 2024,(ARCH131),1,ARCH131
ARCH,329,ARCH 101 or ARCH 201.,Spring 2024,"(ARCH101),(ARCH201)",1,"ARCH101, ARCH201"
ARCH,340,ARCH 101 or ARCH 201.,"Spring 2025, Spring 2024","(ARCH101),(ARCH201)",2,"ARCH101, ARCH201"
ARCH,344,ARCH 131 or any lower division biology course.,Spring 2024,(ARCH131),1,ARCH131
ARCH,348,"Six units in Archaeology, including ARCH 101 or ARCH 201.",Fall 2024,"(ARCH101),(ARCH201)",1,"ARCH101, ARCH201"
ARCH,350,Acceptance in the Environment Co-operative Education Program.,"Summer 2024, Spring 2024",N/A,2,N/A
ARCH,351,ARCH 350 and readmission to the Environment Co-operative Education Program.,Spring 2024,(ARCH350),1,ARCH350
ARCH,363,"ARCH 100 or ARCH 101 or ARCH 201, and 45 units.","Spring 2025, Spring 2024","(ARCH100),(ARCH101),(ARCH201)",2,"ARCH100, ARCH101, ARCH201"
ARCH,365,"ARCH 101 or ARCH 201; or any two of ARCH 100, REM 100, GEOG 100, EVSC 100; and 45 units.","Spring 2025, Spring 2024","(ARCH101),(ARCH201),(ARCH100,REM100),(ARCH100,GEOG100),(ARCH100,EVSC100),(REM100,GEOG100),(REM100,EVSC100),(GEOG100,EVSC100)",2,"ARCH100, ARCH101, ARCH201, EVSC100, GEOG100, REM100"
ARCH,373,"ARCH 131 or any lower division ARCH, BISC, HSCI, or BPK course.","Spring 2025, Spring 2024",(ARCH131),2,ARCH131
ARCH,374,ARCH 101 (or ARCH 201). Recommended: ARCH 282 (or ARCH 372) and ARCH 271.,Fall 2024,"(ARCH101),(ARCH201)",1,"ARCH101, ARCH201"
ARCH,375,"ARCH 101, ARCH 201, or 45 units.",Summer 2024,"(ARCH101),(ARCH201)",1,"ARCH101, ARCH201"
ARCH,376,"ARCH 101 or ARCH 201, and any one of ARCH 285, GEOG 251, PSYC 210, STAT 101, STAT 201, STAT 203, or STAT 205.","Spring 2025, Spring 2024","(ARCH101,ARCH285),(ARCH101,GEOG251),(ARCH101,PSYC210),(ARCH101,STAT101),(ARCH101,STAT201),(ARCH101,STAT203),(ARCH101,STAT205),(ARCH201,ARCH285),(ARCH201,GEOG251),(ARCH201,PSYC210),(ARCH201,STAT101),(ARCH201,STAT201),(ARCH201,STAT203),(ARCH201,STAT205)",2,"ARCH101, ARCH201, ARCH285, GEOG251, PSYC210, STAT101, STAT201, STAT203, STAT205"
