Department,CourseNumber,ParsedPrerequisites
ACMA,201,"(MATH152),(MATH155),(MATH158)"
ACMA,231,"(MATH100),(MATH150),(MATH151),(MATH154),(MATH157)"
ACMA,301,"(ACMA201),(ACMA210)"
ACMA,321,"(ACMA101)"
ACMA,337,"(ACMA336)"
ACMA,340,"(ACMA201),(ACMA210)"
ACMA,401,"(ACMA301),(ACMA320)"
ACMA,421,"(ACMA321)"
ACMA,436,"(ACMA337)"
ACMA,437,"(ACMA436)"
ACMA,438,"(ACMA437)"
ACMA,455,"(ACMA355)"
ARCH,271,"(ARCH101),(ARCH201)"
ARCH,273,"(ARCH100),(ARCH101),(EVSC100),(GEOG100),(REM100)"
ARCH,282,"(ARCH101),(ARCH201)"
ARCH,286,"(ARCH100),(ARCH101),(ARCH201),(EVSC100),(GEOG100),(REM100)"
ARCH,313,"(ARCH100),(ARCH201),(HS100),(HS231),(HS232),(HIST277)"
ARCH,321,"(ARCH272W),(ARCH273)"
ARCH,322,"(ARCH131)"
ARCH,323,"(ARCH131)"
ARCH,329,"(ARCH101),(ARCH201)"
ARCH,340,"(ARCH101),(ARCH201)"
ARCH,344,"(ARCH131)"
ARCH,348,"(ARCH101),(ARCH201)"
ARCH,351,"(ARCH350)"
ARCH,363,"(ARCH100),(ARCH101),(ARCH201)"
ARCH,365,"(ARCH101),(ARCH201),(ARCH100,REM100),(ARCH100,GEOG100),(ARCH100,EVSC100),(REM100,GEOG100),(REM100,EVSC100),(GEOG100,EVSC100)"
ARCH,373,"(ARCH131)"
ARCH,374,"(ARCH101),(ARCH201)"
ARCH,375,"(ARCH101),(ARCH201)"
ARCH,376,"(ARCH101,ARCH285),(ARCH101,GEOG251),(ARCH101,PSYC210),(ARCH101,STAT101),(ARCH101,STAT201),(ARCH101,STAT203),(ARCH101,STAT205),(ARCH201,ARCH285),(ARCH201,GEOG251),(ARCH201,PSYC210),(ARCH201,STAT101),(ARCH201,STAT201),(ARCH201,STAT203),(ARCH201,STAT205)"
ARCH,377,"(ARCH101),(ARCH201)"
ARCH,378,"(ARCH273)"
ARCH,382,"(ARCH282),(ARCH372)"
ARCH,386,"(ARCH101),(ARCH201)"
ARCH,390,"(ARCH101,ARCH272W),(ARCH101,ARCH273),(ARCH201,ARCH272W),(ARCH201,ARCH273)"
ARCH,433,"(ARCH282),(ARCH372)"
ARCH,434,"(ARCH282),(ARCH372)"
ARCH,435,"(ARCH282),(ARCH372)"
ARCH,436,"(ARCH373)"
